PredictedValue,PredictionConfidencePercentage,PredictionGroup,CREDIT_SCORE,AGE,BALANCE,HAS_ZERO_BALANCE,PRODUCTS_NUMBER,ACTIVE_MEMBER,GENDER,CUSTOMER_ID,AGE_SQ,AGE_GROUP,TENURE,TENURE_SQ,TENURE_GROUP,BALANCE_SALARY_RATIO,PRODUCT_SEGMENT,CREDIT_CARD,CREDIT_TIER,HEALTH_SCORE,AGE_TENURE_INTERACTION,ESTIMATED_SALARY,CHURN,Base_Revenue,FTP_Cost,Allocated_Cost,PD_Risk,Survival_Probability,Risk_Adjusted_Margin,Risk_Adjusted_CLV
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,682,43,125851.93,0,1,1,Female,15628145,1849,2,5,25,3,0.651,1,1,3,66.82,71.5,193318.33,0,6528.37,1510.42,175,0.0672,0.5812,4517.5,4853.2
1,0.721949150029853,AGE > 40.2;ACTIVE_MEMBER <= 0.0,793,52,0.0,1,1,0,Male,15713483,2704,3,2,4,2,0.0,1,1,4,11.93,46.0,159123.82,1,857.5,238.86,150,0.0228,0.2781,457.96,154.76
0,0.696551608818774,AGE <= 32.8,691,31,40915.55,0,1,0,Female,15612350,961,2,5,25,3,0.3242,1,1,3,16.91,65.5,126213.84,1,2282.66,467.34,150,0.0636,0.6966,1559.41,2418.19
0,0.646531991134778,AGE <= 32.8,485,21,113157.22,0,1,1,Female,15800703,441,1,5,25,3,2.09,1,1,1,64.85,60.5,54141.5,0,5337.73,1275.16,175,0.146,0.6465,3319.98,4401.45
0,0.701605912538044,AGE <= 32.8,635,29,138296.94,0,2,0,Female,15705707,841,1,8,64,3,0.9803,2,1,2,22.35,94.5,141075.51,0,6528.85,1330.26,200,0.086,0.7016,4568.71,7196.56
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,650,37,106967.18,0,1,0,Male,15754105,1369,2,5,25,3,4.3669,1,0,2,16.5,68.5,24495.03,0,4022.97,1178.99,150,0.08,0.3219,2478.46,1023.0
1,0.713379585256645,AGE > 40.2;ACTIVE_MEMBER <= 0.0,735,44,120681.63,0,1,0,Male,15703264,1936,2,9,81,3,1.6126,1,1,3,25.35,112.0,74836.34,0,5393.25,1504.83,150,0.046,0.2866,3566.45,1255.24
0,0.729135743633312,AGE <= 32.8,416,32,0.0,1,2,1,Male,15794413,1024,2,0,0,1,0.0,2,0,1,54.16,16.0,878.87,0,50.0,14.91,225,0.1736,0.7291,-156.94,-269.07
0,0.717997363696463,AGE <= 32.8,754,32,0.0,1,2,0,Female,15650237,1024,2,7,49,3,0.0,2,1,4,21.54,86.0,89520.75,0,486.92,141.7,200,0.0384,0.718,139.64,231.37
1,0.706788854782022,AGE > 40.2;ACTIVE_MEMBER <= 0.0,535,48,0.0,1,1,0,Female,15759618,2304,2,9,81,3,0.0,1,1,1,23.35,114.0,149892.79,1,745.72,172.69,150,0.126,0.2932,369.73,134.19
0,0.664886969370829,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,716,42,0.0,1,2,0,Male,15811589,1764,2,8,64,3,0.0,2,1,3,23.16,101.0,180800.42,0,887.29,238.82,200,0.0536,0.6649,424.43,596.24
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,539,37,127609.59,0,1,0,Male,15689044,1369,2,2,4,2,1.2936,1,1,1,9.39,38.5,98646.22,0,5216.46,1203.2,150,0.1244,0.3219,3382.67,1396.22
0,0.672077231484066,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,614,43,0.0,1,2,1,Female,15709368,1849,2,6,36,3,0.0,2,1,2,68.14,81.5,109041.53,0,611.86,176.72,225,0.0944,0.6721,190.3,273.43
1,0.721949150029853,AGE > 40.2;ACTIVE_MEMBER <= 0.0,706,57,0.0,1,1,0,Male,15679145,3249,3,7,49,3,0.0,1,1,3,21.06,98.5,17941.16,1,88.32,21.29,150,0.0576,0.2781,-78.19,-26.42
0,0.690832331016724,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,758,33,0.0,1,2,0,Female,15655007,1089,2,7,49,3,0.0,2,0,4,21.58,86.5,82996.47,0,397.21,94.37,200,0.0368,0.6908,99.06,150.9
0,0.704214964971098,AGE <= 32.8,586,28,0.0,1,2,1,Female,15623595,784,1,2,4,2,0.0,2,1,2,59.86,34.0,92067.35,0,444.13,129.42,225,0.1056,0.7042,80.24,127.41
0,0.682503389576074,AGE > 69.80000000000001,646,73,97259.25,0,1,1,Female,15589975,5329,3,6,36,3,0.9288,1,0,2,68.46,96.5,104719.66,0,4648.93,1318.78,175,0.0816,0.6825,2897.69,4301.43
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,631,33,123246.7,0,1,0,Female,15804017,1089,2,4,16,2,1.0937,1,0,2,14.31,56.5,112687.57,0,5694.06,1689.09,150,0.0876,0.2945,3517.27,1284.28
0,0.637139547675359,AGE <= 32.8,717,22,101060.25,0,1,1,Female,15692132,484,1,6,36,3,1.1932,1,0,3,69.17,71.0,84699.56,0,4650.23,960.96,175,0.0532,0.6371,3327.31,4281.53
0,0.696218302797171,AGE <= 32.8,684,30,0.0,1,2,0,Male,15641122,900,2,2,4,2,0.0,2,1,3,10.84,35.0,83473.82,0,435.35,97.66,200,0.0664,0.6962,128.55,199.13
1,0.727367698389599,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,800,49,108007.36,0,1,0,Female,15630910,2401,2,7,49,3,2.2919,1,0,4,22.0,94.5,47125.11,0,5531.64,1272.75,150,0.02,0.2726,4026.71,1325.63
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,721,36,0.0,1,2,1,Female,15680772,1296,2,2,4,2,0.0,2,1,3,61.21,38.0,106977.8,0,513.15,124.41,225,0.0516,0.7096,155.29,250.76
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,683,29,133702.89,0,1,0,Male,15658929,841,1,0,0,1,2.4055,1,1,3,6.83,14.5,55582.54,1,5337.84,1320.12,150,0.0668,0.3219,3609.36,1489.79
0,0.652209458680853,AGE <= 32.8,660,31,125189.75,0,2,1,Male,15585388,961,2,9,81,3,0.895,2,1,2,74.6,105.5,139874.43,0,5242.55,1201.32,225,0.076,0.6522,3526.2,4759.58
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,704,24,113034.22,0,1,0,Female,15724623,576,1,7,49,3,0.6956,1,1,3,21.04,82.0,162503.48,1,5662.44,1580.08,150,0.0584,0.2945,3702.71,1351.99
1,0.727698386220287,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,615,41,109013.23,0,1,0,Female,15588537,1681,2,9,81,3,0.5548,1,1,2,24.15,110.5,196499.96,0,5946.24,1321.99,150,0.094,0.2723,4053.67,1332.36
0,0.690832331016724,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,667,39,0.0,1,2,0,Female,15574692,1521,2,2,4,2,0.0,2,1,2,10.67,39.5,40721.24,1,201.29,54.28,200,0.0732,0.6908,-49.11,-74.82
0,0.667345518496745,AGE <= 32.8,682,24,57929.81,0,2,0,Male,15611325,576,1,9,81,3,1.0903,2,0,3,24.82,102.0,53134.3,0,2365.86,674.69,200,0.0672,0.6673,1390.96,1969.16
0,0.649904118460089,AGE <= 32.8,484,29,130114.39,0,1,0,Female,15587562,841,1,4,16,2,0.7933,1,1,1,12.84,54.5,164017.89,0,5527.94,1439.31,150,0.1464,0.6499,3362.01,4505.01
0,0.667345518496745,AGE <= 32.8,628,27,95826.49,0,2,0,Male,15613172,729,1,5,25,3,0.6143,2,1,2,16.28,63.5,155996.96,0,4913.17,1156.64,200,0.0888,0.6673,3240.71,4587.81
1,0.735222959553662,AGE > 40.2;ACTIVE_MEMBER <= 0.0,480,44,129608.57,0,1,0,Male,15651022,1936,2,10,100,3,23.6827,1,1,1,24.8,122.0,5472.7,1,5599.07,1225.02,150,0.148,0.2648,3598.89,1139.98
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,578,30,169462.09,0,1,0,Male,15586310,900,2,4,16,2,1.5105,1,1,1,13.78,55.0,112187.11,0,7738.06,1651.57,150,0.1088,0.3219,5290.6,2183.73
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,512,40,0.0,1,2,1,Male,15625524,1600,2,5,25,3,0.0,2,1,1,65.12,70.0,146457.83,0,683.55,187.58,225,0.1352,0.7096,234.33,378.39
0,0.653307058885456,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,484,35,133868.21,0,1,1,Female,15755209,1225,2,7,49,3,4.9061,1,1,1,68.84,87.5,27286.1,0,5618.64,1387.32,175,0.1464,0.6533,3462.47,4689.8
0,0.704214964971098,AGE <= 32.8,510,30,0.0,1,2,1,Female,15645248,900,2,0,0,1,0.0,2,1,1,55.1,15.0,130553.47,0,660.38,135.13,225,0.136,0.7042,259.42,411.94
0,0.626787628674149,AGE <= 32.8,606,36,190479.48,0,2,0,Male,15790355,1296,2,5,25,3,1.062,2,0,2,16.06,68.0,179351.89,0,8702.17,2596.59,200,0.0976,0.6268,5329.2,6634.72
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,597,40,101993.12,0,1,1,Female,15762615,1600,2,8,64,3,1.0762,1,0,2,71.97,100.0,94774.12,0,4950.41,1322.4,175,0.1012,0.6432,3103.57,4070.79
1,0.727367698389599,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,754,55,161608.81,0,1,0,Female,15625426,3025,3,3,9,2,19.999,1,1,4,13.54,57.5,8080.85,1,6650.2,1891.44,150,0.0384,0.2726,4431.78,1458.99
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,850,45,122311.21,0,1,1,Female,15716334,2025,2,2,4,2,6.278,1,1,4,62.5,42.5,19482.5,0,5328.63,1299.22,175,0.005,0.5812,3835.14,4120.13
0,0.705258324731066,AGE > 62.400000000000006;ACTIVE_MEMBER > 0.0,510,65,0.0,1,2,1,Male,15789669,4225,3,2,4,2,0.0,2,1,1,59.1,52.5,48071.61,0,241.98,71.52,225,0.136,0.7053,-47.12,-75.07
1,0.725856660335252,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,778,45,162150.42,0,2,0,Female,15621075,2025,2,1,1,1,0.9291,2,1,4,9.78,32.5,174531.27,0,7571.43,1665.35,200,0.0288,0.2741,5541.74,1837.82
0,0.672077231484066,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,636,42,0.0,1,2,1,Male,15810845,1764,2,2,4,2,0.0,2,1,2,60.36,41.0,55470.78,0,294.86,64.43,225,0.0856,0.6721,4.97,7.13
0,0.662944680505186,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,804,50,0.0,1,1,1,Female,15719377,2500,3,4,16,2,0.0,1,1,4,66.04,65.0,8546.87,1,50.0,14.45,175,0.0184,0.6629,-136.88,-191.12
0,0.690063772464999,AGE <= 32.8,514,32,0.0,1,2,0,Male,15654506,1024,2,8,64,3,0.0,2,1,1,21.14,96.0,95857.18,0,463.96,134.16,200,0.1344,0.6901,112.35,170.76
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,730,39,99010.67,0,1,0,Female,15771977,1521,2,1,1,1,0.5079,1,1,3,9.3,29.5,194945.8,0,4703.02,1175.29,150,0.048,0.2945,3215.6,1174.13
0,0.700945725998455,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,525,37,0.0,1,1,1,Female,15708710,1369,2,0,0,1,0.0,1,0,1,55.25,18.5,131521.72,0,615.6,130.86,175,0.13,0.7009,269.47,423.6
0,0.704214964971098,AGE <= 32.8,616,30,0.0,1,2,1,Male,15726676,900,2,5,25,3,0.0,2,0,2,66.16,65.0,196108.51,0,953.56,219.82,225,0.0936,0.7042,461.12,732.24
0,0.66538586896506,AGE <= 32.8,687,34,111388.18,0,2,0,Female,15587421,1156,2,7,49,3,0.7498,2,1,3,20.87,87.0,148564.76,0,5975.47,1645.74,200,0.0652,0.6654,3860.47,5431.66
1,0.709177911699683,AGE > 40.2;ACTIVE_MEMBER <= 0.0,715,41,56214.85,0,2,0,Female,15726931,1681,2,8,64,3,0.6046,2,0,3,23.15,100.5,92982.61,1,2478.56,705.4,200,0.054,0.2908,1488.21,534.18
0,0.66538586896506,AGE <= 32.8,512,36,84327.77,0,2,0,Female,15771086,1296,2,3,9,2,4.7709,2,1,1,11.12,48.0,17675.36,0,3796.66,891.32,200,0.1352,0.6654,2339.58,3291.77
0,0.662898739785261,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,479,40,0.0,1,2,0,Male,15756850,1600,2,1,1,1,0.0,2,0,1,6.79,30.0,114996.43,0,478.22,98.57,200,0.1484,0.6629,152.99,213.58
0,0.657536675028816,AGE <= 32.8,601,32,93012.89,0,1,0,Male,15702741,1024,2,8,64,3,1.0696,1,1,2,22.01,96.0,86957.42,0,4016.15,1070.6,150,0.0996,0.6575,2517.11,3455.15
0,0.667345518496745,AGE <= 32.8,580,29,61710.44,0,2,0,Male,15679200,841,1,9,81,3,0.4818,2,1,2,23.8,104.5,128077.8,0,3159.4,865.52,200,0.108,0.6673,1867.74,2644.12
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,807,35,174790.15,0,1,1,Male,15594815,1225,2,3,9,2,291.1422,1,1,4,64.07,47.5,600.36,0,7404.65,1794.9,175,0.0172,0.6432,5341.27,7005.88
0,0.704214964971098,AGE <= 32.8,616,32,0.0,1,2,1,Female,15635905,1024,2,6,36,3,0.0,2,1,2,68.16,76.0,43001.46,0,230.3,59.49,225,0.0936,0.7042,-49.12,-78.0
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,721,37,107720.64,0,1,1,Male,15777892,1369,2,3,9,2,0.6792,1,1,3,63.21,48.5,158591.12,0,5506.53,1645.01,175,0.0516,0.6432,3496.3,4585.92
0,0.68078667725163,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,501,57,0.0,1,2,1,Male,15656176,3249,3,10,100,3,0.0,2,1,1,75.01,128.5,47847.19,0,230.89,51.83,225,0.1396,0.6808,-39.53,-58.36
0,0.621316631455831,AGE <= 32.8,521,35,96423.84,0,1,0,Male,15811127,1225,2,6,36,3,9.1933,1,1,1,17.21,77.5,10488.44,0,3728.64,959.37,150,0.1316,0.6213,2274.57,2782.6
0,0.637139547675359,AGE <= 32.8,850,30,141040.01,0,1,1,Male,15604482,900,2,2,4,2,23.5924,1,1,4,62.5,35.0,5978.2,0,6158.09,1607.85,175,0.005,0.6371,4353.36,5601.84
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,759,42,105420.18,0,1,1,Male,15622911,1764,2,4,16,2,0.8683,1,0,4,65.59,61.0,121409.06,0,4731.57,1206.13,175,0.0364,0.5812,3228.48,3468.39
0,0.662944680505186,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,516,50,0.0,1,1,1,Male,15600974,2500,3,5,25,3,0.0,1,0,1,65.16,75.0,146145.93,1,637.51,182.91,175,0.1336,0.6629,242.25,338.23
0,0.657629512881395,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,711,38,129022.06,0,2,1,Female,15727868,1444,2,2,4,2,8.9755,2,1,3,61.11,39.0,14374.86,1,4639.74,1208.66,225,0.0556,0.6576,3027.82,4157.4
0,0.603459488598689,AGE <= 32.8,512,33,176666.62,0,1,0,Male,15627801,1089,2,3,9,2,1.8661,1,1,1,11.12,46.5,94670.77,0,6846.75,1717.09,150,0.1352,0.6035,4306.41,4973.63
0,0.700945725998455,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,550,37,0.0,1,1,1,Male,15773039,1369,2,3,9,2,0.0,1,1,1,61.5,48.5,179670.31,0,943.01,200.2,175,0.12,0.7009,499.67,785.47
1,0.727698386220287,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,608,41,89763.84,0,1,0,Female,15755262,1681,2,3,9,2,0.4504,1,0,2,12.08,50.5,199304.74,1,4652.41,1257.64,150,0.0968,0.2723,2930.68,963.26
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,618,34,134954.53,0,1,1,Male,15679531,1156,2,5,25,3,0.8881,1,1,2,66.18,67.0,151954.39,0,6583.15,1403.6,175,0.0928,0.6432,4540.13,5955.06
1,0.722445181775885,AGE > 40.2;ACTIVE_MEMBER <= 0.0,643,45,0.0,1,1,0,Male,15684181,2025,2,5,25,3,0.0,1,1,2,16.43,72.5,142513.5,1,682.12,138.24,150,0.0828,0.2776,361.27,121.79
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,671,45,106376.85,0,1,1,Male,15612087,2025,2,2,4,2,0.6721,1,0,3,60.71,42.5,158264.62,0,5126.4,1275.72,175,0.0716,0.5812,3412.5,3666.08
0,0.644900147056171,AGE <= 32.8,689,33,161814.64,0,2,0,Male,15752047,1089,2,2,4,2,0.9553,2,1,3,10.89,36.5,169381.9,0,7777.4,2000.69,200,0.0644,0.6449,5217.57,6881.47
0,0.704214964971098,AGE <= 32.8,603,31,0.0,1,2,1,Male,15624592,961,2,8,64,3,0.0,2,1,2,72.03,95.5,169915.02,0,823.29,246.91,225,0.0988,0.7042,316.66,502.84
1,0.717799635019309,AGE > 40.2;ACTIVE_MEMBER <= 0.0,620,41,0.0,1,2,0,Female,15573152,1681,2,9,81,3,0.0,2,0,2,24.2,110.5,88852.47,0,464.56,126.0,200,0.092,0.2822,125.81,43.37
0,0.666908048074124,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,676,34,63095.01,0,1,1,Female,15594917,1156,2,1,1,1,1.5523,1,1,3,58.76,27.0,40645.81,0,2546.52,725.4,175,0.0696,0.6669,1531.55,2165.21
0,0.675945898690158,AGE <= 32.8,572,26,118287.01,0,2,0,Male,15785542,676,1,4,16,2,1.9575,2,0,1,13.72,53.0,60427.3,0,4850.87,1138.2,200,0.1112,0.6759,3122.06,4540.55
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,668,47,106854.21,0,1,1,Male,15723488,2209,2,7,49,3,0.6765,1,0,2,70.68,93.5,157959.02,1,4870.65,1222.0,175,0.0728,0.5812,3220.77,3460.1
1,0.725767145055213,AGE > 40.2;ACTIVE_MEMBER <= 0.0,695,46,49512.55,0,1,0,Male,15680920,2116,2,7,49,3,0.3723,1,1,3,20.95,93.0,133007.34,0,2329.17,692.76,150,0.062,0.2742,1394.25,462.58
0,0.690832331016724,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,730,33,0.0,1,2,0,Female,15786308,1089,2,9,81,3,0.0,2,0,3,25.3,106.5,176576.62,0,925.88,223.82,200,0.048,0.6908,477.96,728.14
1,0.706457971402889,AGE > 40.2;ACTIVE_MEMBER <= 0.0,807,43,105799.32,0,2,0,Male,15659366,1849,2,1,1,1,3.0325,2,1,4,10.07,31.5,34888.04,1,4199.57,1178.94,200,0.0172,0.2935,2772.12,1007.65
0,0.662944680505186,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,592,54,0.0,1,1,1,Male,15774854,2916,3,8,64,3,0.0,1,1,2,71.92,107.0,28737.71,1,143.87,36.34,175,0.1032,0.6629,-60.51,-84.48
0,0.652209458680853,AGE <= 32.8,726,31,114722.05,0,2,1,Female,15725311,961,2,9,81,3,1.1685,2,1,3,75.26,105.5,98178.57,0,5323.98,1184.03,225,0.0496,0.6522,3720.77,5022.2
0,0.694923443553409,AGE <= 32.8,514,30,0.0,1,1,1,Male,15787155,900,2,7,49,3,0.0,1,0,1,69.14,85.0,125010.24,0,652.96,168.49,175,0.1344,0.6949,267.88,413.31
0,0.672077231484066,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,567,42,0.0,1,2,1,Male,15727829,1764,2,2,4,2,0.0,2,1,1,59.67,41.0,167984.61,0,895.81,198.7,225,0.1132,0.6721,418.67,601.56
0,0.665014337990795,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,850,33,0.0,1,1,0,Male,15733247,1089,2,10,100,3,0.0,1,1,4,28.5,116.5,4861.72,1,50.0,10.02,150,0.005,0.665,-109.47,-153.84
0,0.5959747764968,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,671,45,99564.22,0,1,1,Male,15568748,2025,2,6,36,3,0.9145,1,1,3,68.71,82.5,108872.45,1,4335.31,969.33,175,0.0716,0.596,2962.51,3339.42
0,0.644900147056171,AGE <= 32.8,670,37,170557.91,0,2,0,Male,15699029,1369,2,4,16,2,0.8603,2,1,3,14.7,58.5,198252.88,0,7751.29,1699.97,200,0.072,0.6449,5430.02,7161.68
0,0.704214964971098,AGE <= 32.8,694,30,0.0,1,2,1,Female,15774393,900,2,9,81,3,0.0,2,1,3,74.94,105.0,26960.31,0,112.06,26.57,225,0.0624,0.7042,-130.8,-207.71
0,0.694593157420372,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,547,39,74596.15,0,3,1,Female,15676895,1521,2,6,36,3,0.87,3,1,1,67.47,79.5,85746.52,1,2918.74,843.11,275,0.1212,0.6946,1582.39,2438.98
1,0.725341974987186,AGE > 40.2;ACTIVE_MEMBER <= 0.0,751,50,96888.39,0,1,0,Male,15637753,2500,3,2,4,2,1.2549,1,1,4,11.51,45.0,77206.25,1,3697.89,883.0,150,0.0396,0.2747,2559.36,850.88
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,594,29,130830.22,0,1,0,Female,15605461,841,1,3,9,2,2.1431,1,1,2,11.94,44.5,61048.53,0,4986.13,1418.65,150,0.1024,0.2945,3067.53,1120.06
