customer_id,propensity_term_deposit,propensity_housing_loan,propensity_personal_loan,age,job,marital,education,balance,housing,loan,y
C100037,0.0864,0.5674,0.1586,53,technician,married,secondary,-3,no,no,no
C100038,0.1161,0.8008,0.1547,36,admin.,divorced,secondary,506,yes,no,no
C100039,0.0864,0.6294,0.1596,37,admin.,single,secondary,0,yes,no,no
C100040,0.1057,0.7889,0.1672,44,services,divorced,secondary,2586,yes,no,no
C100041,0.093,0.703,0.1705,50,management,married,secondary,49,yes,no,no
C100042,0.0769,0.6041,0.1375,60,blue-collar,married,unknown,104,yes,no,no
C100043,0.0864,0.6041,0.1755,54,retired,married,secondary,529,yes,no,no
C100044,0.0769,0.6414,0.1546,58,retired,married,unknown,96,yes,no,no
C100045,0.0771,0.8008,0.1753,36,admin.,single,primary,-171,yes,no,no
C100046,0.0866,0.6956,0.1715,58,self-employed,married,tertiary,-364,yes,no,no
C100047,0.0764,0.6287,0.1708,44,technician,married,secondary,0,yes,no,no
C100048,0.0995,0.5851,0.1672,55,technician,divorced,secondary,0,no,no,no
C100049,0.105,0.6079,0.1656,29,management,single,tertiary,0,yes,no,no
C100050,0.0995,0.7441,0.1695,54,blue-collar,married,secondary,1291,yes,no,no
C100051,0.1136,0.7408,0.1715,48,management,divorced,tertiary,-244,yes,no,no
C100052,0.0771,0.5804,0.1546,32,management,married,tertiary,0,yes,no,no
C100053,0.0885,0.7631,0.1656,42,admin.,single,secondary,-76,yes,no,no
C100054,0.105,0.8008,0.1575,24,technician,single,secondary,-103,yes,yes,no
C100055,0.093,0.7889,0.1749,38,entrepreneur,single,tertiary,243,no,yes,no
C100056,0.0898,0.7232,0.1582,38,management,single,tertiary,424,yes,no,no
C100057,0.0995,0.7889,0.148,47,blue-collar,married,unknown,306,yes,no,no
C100058,0.093,0.6331,0.1444,40,blue-collar,single,unknown,24,yes,no,no
C100059,0.0885,0.7597,0.1705,46,services,married,primary,179,yes,no,no
C100060,0.093,0.5996,0.1635,32,admin.,married,tertiary,0,yes,no,no
C100061,0.105,0.6414,0.1705,53,technician,divorced,secondary,989,yes,no,no
C100062,0.0885,0.7642,0.1674,57,blue-collar,married,primary,249,yes,no,no
C100063,0.0864,0.7834,0.1693,33,services,married,secondary,790,yes,no,no
C100064,0.093,0.7962,0.148,49,blue-collar,married,unknown,154,yes,no,no
C100065,0.0898,0.5996,0.1574,51,management,married,tertiary,6530,yes,no,no
C100066,0.0991,0.6584,0.154,60,retired,married,tertiary,100,no,no,no
C100067,0.0771,0.5794,0.1656,59,management,divorced,tertiary,59,yes,no,no
C100068,0.0771,0.779,0.1742,55,technician,married,secondary,1205,yes,no,no
C100069,0.105,0.779,0.148,35,blue-collar,single,secondary,12223,yes,yes,no
C100070,0.0864,0.7599,0.1749,57,blue-collar,married,secondary,5935,yes,yes,no
C100071,0.0764,0.7203,0.1686,31,services,married,secondary,25,yes,yes,no
C100072,0.0771,0.6967,0.1705,54,management,married,secondary,282,yes,yes,no
C100073,0.0885,0.6701,0.1695,55,blue-collar,married,primary,23,yes,no,no
C100074,0.0995,0.6701,0.1695,43,technician,married,secondary,1937,yes,no,no
C100075,0.0885,0.7232,0.172,53,technician,married,secondary,384,yes,no,no
C100076,0.0864,0.7969,0.1546,44,blue-collar,married,secondary,582,no,yes,no
C100077,0.1042,0.6331,0.173,55,services,divorced,secondary,91,no,no,no
C100078,0.1136,0.6919,0.1695,49,services,divorced,secondary,0,yes,yes,no
C100079,0.0995,0.5774,0.1708,55,services,divorced,secondary,1,yes,no,no
C100080,0.0864,0.6708,0.1665,45,admin.,single,secondary,206,yes,no,no
C100081,0.0864,0.779,0.173,47,services,divorced,secondary,164,no,no,no
C100082,0.1161,0.7846,0.1546,42,technician,single,secondary,690,yes,no,no
C100083,0.0995,0.6431,0.1659,59,admin.,married,secondary,2343,yes,no,yes
C100084,0.0769,0.779,0.1659,46,self-employed,married,tertiary,137,yes,yes,no
C100085,0.093,0.6929,0.1672,51,blue-collar,married,primary,173,yes,no,no
C100086,0.0769,0.5996,0.1613,56,admin.,married,secondary,45,no,no,yes
C100087,0.0864,0.796,0.1656,41,technician,married,secondary,1270,yes,no,yes
C100088,0.0885,0.6598,0.1705,46,management,divorced,secondary,16,yes,yes,no
C100089,0.0864,0.6414,0.1699,57,retired,married,secondary,486,yes,no,no
C100090,0.0885,0.7107,0.1582,42,management,single,secondary,50,no,no,no
C100091,0.105,0.7969,0.1728,30,technician,married,secondary,152,yes,yes,no
C100092,0.0995,0.6041,0.1659,60,admin.,married,secondary,290,yes,no,no
C100093,0.105,0.6414,0.1546,60,blue-collar,married,unknown,54,yes,no,no
C100094,0.0995,0.6294,0.1784,57,entrepreneur,divorced,secondary,-37,no,no,no
C100095,0.0864,0.769,0.1659,36,management,married,tertiary,101,yes,yes,no
C100096,0.0864,0.7651,0.1546,55,blue-collar,married,secondary,383,no,no,no
C100097,0.0954,0.552,0.1699,60,retired,married,tertiary,81,yes,no,no
C100098,0.0771,0.703,0.1749,39,technician,married,secondary,0,yes,no,no
C100099,0.0864,0.6336,0.1695,46,management,married,tertiary,229,yes,no,no
C100100,0.0771,0.7962,0.1784,44,blue-collar,married,secondary,-674,yes,no,no
C100101,0.093,0.6883,0.1582,53,blue-collar,married,primary,90,no,no,no
C100102,0.0764,0.7373,0.1672,52,blue-collar,married,primary,128,yes,no,no
C100103,0.0995,0.7232,0.1659,59,blue-collar,married,primary,179,yes,no,no
C100104,0.0771,0.6294,0.1672,27,technician,single,tertiary,0,yes,no,no
C100105,0.093,0.6967,0.1741,44,blue-collar,married,secondary,54,yes,no,no
C100106,0.0864,0.6041,0.1753,47,technician,married,tertiary,151,yes,no,no
C100107,0.0885,0.7807,0.1546,34,admin.,married,secondary,61,no,yes,no
C100108,0.105,0.6268,0.1635,59,retired,single,secondary,30,yes,no,no
C100109,0.0995,0.779,0.1705,45,management,married,tertiary,523,yes,no,no
C100110,0.105,0.6598,0.1733,29,services,divorced,secondary,31,yes,no,no
C100111,0.0771,0.6919,0.1672,46,technician,divorced,secondary,79,no,no,no
C100112,0.0771,0.6584,0.1742,56,self-employed,married,primary,-34,yes,yes,no
C100113,0.0771,0.8025,0.1672,36,blue-collar,married,primary,448,yes,no,no
C100114,0.0995,0.5949,0.1699,59,retired,divorced,primary,81,yes,no,no
C100115,0.0885,0.8008,0.1741,44,blue-collar,married,secondary,144,yes,no,no
C100116,0.0995,0.7969,0.1708,41,admin.,married,secondary,351,yes,no,no
C100117,0.0885,0.7331,0.1672,33,management,single,tertiary,-67,yes,no,no
C100118,0.0995,0.6171,0.1582,59,management,divorced,tertiary,262,no,no,no
C100119,0.0771,0.6268,0.148,57,technician,married,primary,0,no,no,no
C100120,0.0769,0.6171,0.148,56,technician,divorced,unknown,56,yes,no,no
C100121,0.0769,0.666,0.1705,51,blue-collar,married,secondary,26,yes,no,no
C100122,0.093,0.541,0.1476,34,admin.,married,unknown,3,yes,no,no
C100123,0.093,0.6628,0.1708,43,services,married,secondary,41,yes,yes,no
C100124,0.0864,0.6041,0.1586,52,technician,married,tertiary,7,no,yes,no
C100125,0.0864,0.6336,0.1672,33,technician,single,secondary,105,yes,no,no
C100126,0.1136,0.6929,0.1672,29,admin.,single,secondary,818,yes,yes,no
C100127,0.0769,0.6708,0.1749,34,services,married,secondary,-16,yes,yes,no
C100128,0.093,0.6612,0.1699,31,blue-collar,married,secondary,0,yes,no,no
C100129,0.1105,0.6414,0.1586,55,services,married,secondary,2476,yes,no,yes
C100130,0.105,0.6431,0.1517,55,management,married,unknown,1185,no,no,no
C100131,0.105,0.7889,0.1595,32,admin.,single,secondary,217,yes,no,no
C100132,0.105,0.7962,0.1582,38,technician,single,secondary,1685,yes,no,no
C100133,0.0864,0.666,0.1509,55,admin.,single,secondary,802,yes,yes,no
C100134,0.0885,0.6431,0.1476,28,unemployed,single,tertiary,0,yes,no,no
C100135,0.1136,0.8025,0.1708,23,blue-collar,married,secondary,94,yes,no,no
C100136,0.0864,0.64,0.1656,32,technician,single,secondary,0,yes,no,no
C100137,0.0864,0.5723,0.1238,43,services,single,unknown,0,no,no,no
C100138,0.0771,0.8029,0.1738,32,blue-collar,married,secondary,517,yes,no,no
C100139,0.0885,0.7962,0.1749,46,blue-collar,married,secondary,265,yes,no,no
C100140,0.0995,0.6919,0.1519,53,housemaid,divorced,primary,947,yes,no,no
C100141,0.093,0.703,0.1749,34,self-employed,single,secondary,3,yes,no,no
C100142,0.1136,0.6035,0.1287,57,unemployed,married,tertiary,42,no,no,no
C100143,0.0769,0.6424,0.1659,37,blue-collar,married,secondary,37,yes,no,no
C100144,0.0885,0.6331,0.1753,59,blue-collar,married,secondary,57,yes,no,no
C100145,0.0764,0.7056,0.1708,33,services,married,secondary,22,yes,no,no
C100146,0.093,0.6194,0.1656,56,blue-collar,divorced,primary,8,yes,no,no
C100147,0.105,0.779,0.1705,48,unemployed,married,secondary,293,yes,no,no
C100148,0.105,0.6079,0.1705,43,services,married,primary,3,yes,no,no
C100149,0.0771,0.7642,0.1695,54,blue-collar,married,primary,348,yes,no,no
C100150,0.093,0.5996,0.154,51,blue-collar,married,unknown,-19,yes,no,no
C100151,0.105,0.5791,0.0779,26,student,single,secondary,0,yes,no,no
C100152,0.0769,0.6185,0.1547,40,management,married,tertiary,-4,yes,no,no
C100153,0.0885,0.703,0.1705,39,management,married,secondary,18,yes,no,no
C100154,0.093,0.779,0.1517,50,technician,married,primary,139,no,no,no
C100155,0.0769,0.6598,0.172,41,services,married,secondary,0,yes,no,no
C100156,0.0898,0.7041,0.1336,51,blue-collar,married,unknown,1883,yes,no,no
C100157,0.1064,0.6547,0.1705,60,retired,divorced,secondary,216,yes,no,no
C100158,0.0864,0.7651,0.1742,52,blue-collar,married,secondary,782,yes,no,no
C100159,0.1161,0.6929,0.1749,48,blue-collar,married,secondary,904,yes,no,no
C100160,0.105,0.6041,0.1333,48,services,married,unknown,1705,yes,no,no
C100161,0.093,0.6041,0.1672,39,technician,single,tertiary,47,yes,no,no
C100162,0.0885,0.6903,0.173,47,services,single,secondary,176,yes,no,no
C100163,0.093,0.8008,0.1596,40,blue-collar,married,secondary,1225,yes,no,no
C100164,0.093,0.6919,0.1705,45,technician,married,secondary,86,yes,no,no
C100165,0.1161,0.6041,0.1674,26,admin.,single,secondary,82,yes,no,no
C100166,0.0995,0.6287,0.1705,52,management,married,tertiary,271,yes,no,no
C100167,0.0864,0.6041,0.1742,54,technician,married,secondary,1378,yes,no,no
C100168,0.093,0.6912,0.1517,54,admin.,married,tertiary,184,no,no,yes
C100169,0.0763,0.6041,0.1582,50,blue-collar,married,primary,0,no,no,no
C100170,0.0771,0.6041,0.1695,35,blue-collar,married,secondary,0,yes,no,no
C100171,0.0885,0.796,0.1635,44,services,married,secondary,1357,yes,yes,no
C100172,0.0769,0.5115,0.173,53,entrepreneur,married,unknown,19,yes,no,no
C100173,0.0771,0.5564,0.1586,35,retired,single,primary,434,no,no,no
C100174,0.0885,0.5804,0.1699,60,admin.,divorced,secondary,92,yes,no,no
C100175,0.1161,0.6628,0.1695,53,admin.,divorced,secondary,1151,yes,no,no
C100176,0.0763,0.6584,0.1705,48,unemployed,married,secondary,41,yes,no,no
C100177,0.0885,0.7132,0.1659,34,technician,married,secondary,51,yes,no,no
C100178,0.0771,0.7408,0.1715,54,services,married,secondary,214,yes,no,no
C100179,0.105,0.762,0.1672,51,management,married,secondary,1161,yes,no,no
C100180,0.0769,0.6041,0.1676,31,services,married,tertiary,37,yes,no,no
C100181,0.1142,0.769,0.1676,35,technician,divorced,secondary,787,yes,no,no
C100182,0.0769,0.6598,0.1659,35,services,married,secondary,59,yes,no,no
C100183,0.0864,0.7962,0.1708,38,technician,married,secondary,253,yes,no,no
C100184,0.0995,0.7059,0.1699,36,admin.,married,tertiary,211,yes,no,no
C100185,0.1105,0.5996,0.1705,58,retired,married,primary,235,yes,no,no
C100186,0.0995,0.7799,0.1333,40,services,divorced,unknown,4384,yes,no,no
C100187,0.1158,0.6431,0.1375,54,management,married,secondary,4080,no,no,no
C100188,0.0771,0.7331,0.1656,34,blue-collar,single,secondary,53,yes,yes,no
C100189,0.093,0.5996,0.1519,31,management,single,tertiary,0,yes,no,no
C100190,0.105,0.5535,0.1699,51,retired,married,secondary,2127,yes,no,no
C100191,0.105,0.7631,0.1708,33,management,married,tertiary,377,yes,no,no
C100192,0.093,0.568,0.173,55,management,married,tertiary,73,yes,no,no
C100193,0.0885,0.795,0.1727,42,admin.,married,secondary,445,yes,no,no
C100194,0.0995,0.6929,0.1753,34,blue-collar,married,secondary,243,yes,no,no
C100195,0.0898,0.8025,0.154,33,blue-collar,single,secondary,307,yes,no,no
C100196,0.0864,0.8008,0.1741,38,services,married,secondary,155,yes,no,no
C100197,0.0864,0.7056,0.1574,50,technician,divorced,tertiary,173,no,yes,no
C100198,0.0995,0.7668,0.1519,43,management,married,tertiary,400,yes,no,no
C100199,0.1214,0.6041,0.1582,61,blue-collar,divorced,primary,1428,yes,no,no
C100200,0.0769,0.7834,0.1749,47,admin.,married,secondary,219,yes,no,no
C100201,0.0769,0.5589,0.1715,48,self-employed,married,tertiary,7,yes,no,no
C100202,0.0864,0.796,0.1705,44,blue-collar,married,secondary,575,yes,no,no
C100203,0.0885,0.7092,0.0755,35,student,single,unknown,298,yes,no,no
C100204,0.0885,0.5903,0.1753,35,services,married,secondary,0,yes,no,no
C100205,0.0864,0.7059,0.1672,50,services,married,secondary,5699,yes,no,no
C100206,0.0771,0.7099,0.1695,41,management,married,tertiary,176,yes,yes,no
C100207,0.0864,0.6929,0.1672,41,management,married,tertiary,517,yes,no,no
C100208,0.1161,0.6708,0.1468,39,services,single,unknown,257,yes,no,no
C100209,0.0885,0.5088,0.1708,42,retired,married,secondary,56,yes,no,no
C100210,0.105,0.796,0.1715,38,blue-collar,married,secondary,-390,yes,no,no
C100211,0.0771,0.6294,0.1705,53,retired,married,secondary,330,yes,no,no
C100212,0.0769,0.6294,0.1582,59,housemaid,divorced,primary,195,no,no,no
C100213,0.1105,0.7846,0.172,36,services,married,secondary,301,yes,no,no
C100214,0.0771,0.7597,0.1742,54,blue-collar,married,primary,-41,yes,no,no
C100215,0.0771,0.7373,0.1695,40,technician,married,tertiary,483,yes,no,no
C100216,0.0885,0.4966,0.1097,47,unknown,married,unknown,28,no,no,no
C100217,0.0885,0.5249,0.1097,53,unemployed,married,unknown,13,no,no,no
C100218,0.1158,0.6424,0.1582,46,housemaid,married,primary,965,no,no,no
C100219,0.0885,0.7962,0.1519,39,management,married,tertiary,378,yes,yes,no
C100220,0.1116,0.795,0.1476,40,unemployed,married,secondary,219,yes,no,no
C100221,0.1161,0.8029,0.1749,28,blue-collar,married,primary,324,yes,no,no
C100222,0.0995,0.8008,0.1728,35,entrepreneur,divorced,secondary,-69,yes,no,no
C100223,0.0763,0.5996,0.1468,55,retired,married,secondary,0,no,yes,no
C100224,0.1161,0.699,0.1375,43,technician,divorced,unknown,205,yes,no,no
C100225,0.0764,0.8008,0.1742,48,blue-collar,married,primary,278,yes,no,no
C100226,0.0771,0.6294,0.1616,58,management,married,unknown,1065,yes,no,no
C100227,0.0771,0.703,0.1546,33,management,single,tertiary,34,yes,no,no
C100228,0.093,0.7889,0.1333,36,blue-collar,married,unknown,1033,no,no,no
C100229,0.1136,0.7668,0.1742,53,services,divorced,secondary,1467,yes,no,no
C100230,0.0771,0.6331,0.1695,47,blue-collar,married,primary,-12,yes,no,no
C100231,0.1042,0.6929,0.1708,31,services,married,secondary,388,yes,no,no
C100232,0.0898,0.779,0.1753,57,entrepreneur,married,secondary,294,yes,no,no
C100233,0.0995,0.779,0.1333,53,blue-collar,married,unknown,1827,no,no,no
C100234,0.0885,0.7642,0.1672,55,blue-collar,married,primary,627,yes,no,no
C100235,0.0763,0.7107,0.1635,45,blue-collar,married,primary,25,yes,no,no
C100236,0.1161,0.7232,0.1705,53,admin.,divorced,secondary,315,yes,no,no
C100237,0.0763,0.6612,0.1672,37,blue-collar,married,primary,0,yes,no,no
C100238,0.105,0.6844,0.1708,44,admin.,divorced,secondary,66,yes,no,no
C100239,0.0885,0.7599,0.1742,49,blue-collar,divorced,primary,-9,yes,yes,no
C100240,0.0769,0.6712,0.1695,46,technician,married,secondary,349,yes,yes,no
C100241,0.0995,0.7408,0.148,43,entrepreneur,married,unknown,100,yes,no,no
C100242,0.0769,0.6598,0.1574,38,admin.,married,secondary,0,no,no,no
C100243,0.0991,0.795,0.173,43,technician,married,secondary,434,yes,no,no
C100244,0.0898,0.7383,0.1659,49,management,married,tertiary,3237,yes,no,no
C100245,0.0864,0.699,0.1308,42,management,married,unknown,275,no,no,no
C100246,0.0763,0.6968,0.1672,22,blue-collar,single,secondary,0,yes,no,no
C100247,0.0771,0.7668,0.1546,40,management,married,tertiary,207,yes,no,no
C100248,0.0771,0.7969,0.1727,39,blue-collar,married,secondary,483,yes,no,no
C100249,0.105,0.779,0.1705,51,services,married,secondary,2248,yes,no,no
C100250,0.0991,0.779,0.1742,49,admin.,married,secondary,428,yes,no,no
C100251,0.0769,0.6414,0.1742,53,blue-collar,married,secondary,0,yes,yes,no
C100252,0.0864,0.703,0.1727,34,services,single,secondary,0,yes,no,no
C100253,0.0995,0.7232,0.1708,33,technician,divorced,secondary,140,yes,no,no
C100254,0.105,0.7107,0.1546,50,management,single,tertiary,297,yes,no,no
C100255,0.0885,0.8025,0.1665,39,blue-collar,married,primary,279,yes,no,no
C100256,0.1057,0.7373,0.1695,59,entrepreneur,divorced,secondary,901,yes,no,no
C100257,0.1136,0.7059,0.1476,30,technician,single,secondary,2573,yes,no,no
C100258,0.0771,0.796,0.1741,36,services,married,secondary,143,yes,yes,no
C100259,0.093,0.8029,0.1695,40,blue-collar,married,secondary,475,yes,no,no
C100260,0.0764,0.6528,0.1693,53,blue-collar,married,secondary,70,yes,no,no
C100261,0.105,0.7099,0.1586,34,management,single,tertiary,318,yes,no,no
C100262,0.0771,0.7962,0.172,37,technician,married,secondary,275,yes,no,no
C100263,0.1158,0.6968,0.1546,42,management,divorced,tertiary,742,yes,no,no
C100264,0.0771,0.8,0.1672,41,entrepreneur,married,primary,236,yes,no,no
C100265,0.0885,0.6037,0.1238,30,student,single,tertiary,25,yes,no,no
C100266,0.1161,0.7668,0.1574,37,management,single,tertiary,600,yes,no,no
C100267,0.0885,0.8025,0.1708,39,admin.,divorced,secondary,-349,yes,no,no
C100268,0.1105,0.7962,0.1665,41,blue-collar,married,primary,183,yes,yes,no
C100269,0.0885,0.6612,0.1742,40,blue-collar,married,primary,0,yes,no,no
C100270,0.0885,0.7149,0.1468,42,management,single,tertiary,0,yes,yes,yes
C100271,0.0771,0.7056,0.172,40,blue-collar,divorced,primary,0,yes,no,no
C100272,0.0995,0.6967,0.1659,57,technician,married,secondary,1078,yes,no,no
C100273,0.0864,0.6041,0.1616,56,entrepreneur,divorced,secondary,155,no,no,no
C100274,0.0995,0.796,0.1708,37,admin.,married,secondary,190,yes,no,no
C100275,0.105,0.7132,0.1749,59,retired,married,secondary,319,yes,no,no
C100276,0.105,0.7962,0.1733,39,services,divorced,secondary,-185,yes,no,no
C100277,0.0864,0.6294,0.1574,49,services,married,secondary,47,no,no,no
C100278,0.1105,0.7331,0.1519,38,services,single,secondary,570,yes,no,no
C100279,0.0771,0.703,0.1582,36,self-employed,married,tertiary,19,no,no,no
C100280,0.1057,0.7383,0.173,50,blue-collar,married,primary,61,yes,no,no
C100281,0.0771,0.8,0.1708,41,admin.,married,secondary,-62,yes,yes,no
C100282,0.0995,0.6331,0.1546,54,technician,married,tertiary,258,no,no,no
C100283,0.0769,0.6424,0.1672,58,blue-collar,married,primary,76,yes,no,no
C100284,0.0864,0.6598,0.1656,30,blue-collar,single,secondary,0,yes,no,no
C100285,0.0995,0.6929,0.1635,33,admin.,single,secondary,352,yes,no,no
C100286,0.0864,0.7538,0.1708,47,admin.,married,secondary,368,yes,no,no
C100287,0.1161,0.7099,0.1595,50,technician,single,tertiary,339,yes,no,no
C100288,0.0771,0.6929,0.1672,32,blue-collar,married,secondary,1331,yes,no,no
C100289,0.105,0.8025,0.173,40,self-employed,married,secondary,672,yes,no,no
C100290,0.093,0.6612,0.1695,37,management,married,tertiary,58,yes,no,no
C100291,0.0771,0.7099,0.1485,54,technician,single,unknown,447,yes,no,no
C100292,0.0995,0.7651,0.1075,24,student,single,secondary,423,yes,no,no
C100293,0.0771,0.5851,0.1402,54,management,married,tertiary,0,no,no,no
C100294,0.0885,0.6041,0.1765,34,technician,married,secondary,19,yes,no,no
C100295,0.093,0.5723,0.1547,56,technician,divorced,primary,13,yes,no,no
C100296,0.0885,0.6041,0.1693,31,blue-collar,single,secondary,3,yes,no,no
C100297,0.0995,0.6424,0.1097,24,student,single,secondary,82,yes,no,no
C100298,0.0864,0.672,0.1635,42,blue-collar,divorced,primary,28,yes,no,no
C100299,0.093,0.6414,0.1742,57,technician,married,secondary,792,yes,no,no
C100300,0.1136,0.6929,0.1333,42,blue-collar,married,unknown,408,yes,no,no
C100301,0.0995,0.779,0.1708,51,admin.,married,secondary,531,yes,no,no
C100302,0.093,0.6414,0.1708,57,retired,married,secondary,211,yes,no,no
C100303,0.1026,0.7056,0.1656,36,services,single,secondary,62,yes,no,no
C100304,0.0864,0.6528,0.154,53,services,married,unknown,257,yes,no,no
C100305,0.0771,0.7834,0.1749,50,technician,married,secondary,1234,yes,no,no
C100306,0.0771,0.703,0.1635,54,management,married,tertiary,313,yes,no,no
C100307,0.0769,0.6424,0.1672,55,blue-collar,married,secondary,89,yes,no,no
C100308,0.093,0.7962,0.1741,44,blue-collar,married,secondary,129,yes,yes,no
C100309,0.0885,0.599,0.1476,43,management,married,unknown,0,yes,no,no
C100310,0.1161,0.6041,0.1742,56,admin.,married,secondary,353,yes,no,no
C100311,0.1161,0.5903,0.1399,54,technician,married,unknown,851,yes,no,no
C100312,0.0885,0.7045,0.1742,55,services,divorced,primary,96,yes,yes,no
C100313,0.1064,0.6929,0.1727,37,services,divorced,secondary,398,yes,yes,no
C100314,0.1057,0.779,0.1582,33,admin.,single,tertiary,193,no,no,no
C100315,0.0885,0.8008,0.1765,46,admin.,married,secondary,-358,yes,no,no
C100316,0.0864,0.7969,0.1665,36,blue-collar,married,secondary,539,yes,yes,no
C100317,0.0995,0.5505,0.1672,51,technician,single,secondary,0,yes,no,no
C100318,0.0995,0.534,0.1582,40,retired,single,primary,0,no,no,no
C100319,0.0995,0.6929,0.1695,42,blue-collar,married,secondary,490,yes,no,no
C100320,0.0764,0.6041,0.1695,51,blue-collar,married,secondary,0,yes,no,no
C100321,0.0991,0.7889,0.148,49,blue-collar,married,unknown,403,yes,no,no
C100322,0.093,0.6041,0.1665,48,management,married,secondary,161,yes,no,no
C100323,0.1057,0.7668,0.1468,32,technician,divorced,tertiary,2558,no,no,no
C100324,0.1136,0.7059,0.1574,31,admin.,single,secondary,98,yes,no,no
C100325,0.1136,0.5804,0.148,55,management,single,tertiary,115,no,no,no
C100326,0.1136,0.7969,0.1547,40,blue-collar,single,secondary,436,yes,no,no
C100327,0.0864,0.6919,0.1672,47,technician,married,tertiary,831,yes,no,no
C100328,0.093,0.6469,0.148,57,technician,married,unknown,206,yes,no,no
C100329,0.0864,0.8029,0.1659,41,blue-collar,married,secondary,290,yes,no,no
C100330,0.0771,0.6041,0.1596,48,blue-collar,married,secondary,1,no,no,no
C100331,0.093,0.6929,0.1582,42,blue-collar,married,unknown,57,yes,no,no
C100332,0.093,0.8025,0.1772,30,blue-collar,single,secondary,-457,yes,no,no
C100333,0.1057,0.5996,0.148,58,management,single,tertiary,1387,yes,no,no
C100334,0.1161,0.596,0.1586,45,management,divorced,tertiary,24598,yes,no,no
C100335,0.093,0.7631,0.1705,49,blue-collar,married,secondary,30,yes,no,no
C100336,0.1042,0.796,0.1517,42,admin.,single,secondary,1022,yes,no,no
C100337,0.0771,0.6919,0.1705,53,technician,married,secondary,56,yes,yes,no
C100338,0.0864,0.5782,0.1672,51,admin.,single,secondary,-2,no,no,no
C100339,0.0885,0.7889,0.1595,32,services,single,secondary,121,yes,no,no
C100340,0.1158,0.8025,0.1485,41,blue-collar,single,secondary,842,yes,no,no
C100341,0.1057,0.7812,0.1672,43,management,divorced,secondary,693,yes,no,no
C100342,0.0771,0.8025,0.1772,40,blue-collar,divorced,secondary,-333,yes,no,no
C100343,0.1105,0.6929,0.172,50,blue-collar,married,primary,1533,yes,no,no
C100344,0.0864,0.6331,0.1547,34,management,married,tertiary,46,yes,no,no
C100345,0.0864,0.5546,0.1393,53,services,married,unknown,18,no,no,no
C100346,0.093,0.7383,0.1738,45,technician,married,secondary,44,yes,no,no
